day,hour,num
1,0,30
1,1,29
1,2,27
1,3,18
1,4,25
1,5,27
1,6,28
1,7,25
1,8,27
1,9,43
1,10,63
1,11,60
1,12,71
1,13,63
1,14,49
1,15,50
1,16,56
1,17,22
1,18,81
1,19,71
1,20,55
1,21,33
1,22,40
1,23,24
2,0,42
2,1,17
2,2,26
2,3,15
2,4,23
2,5,18
2,6,37
2,7,33
2,8,23
2,9,61
2,10,86
2,11,71
2,12,65
2,13,48
2,14,56
2,15,65
2,16,63
2,17,63
2,18,52
2,19,55
2,20,70
2,21,52
2,22,59
2,23,47
3,0,17
3,1,35
3,2,20
3,3,20
3,4,18
3,5,32
3,6,30
3,7,28
3,8,38
3,9,57
3,10,75
3,11,78
3,12,65
3,13,70
3,14,59
3,15,85
3,16,67
3,17,55
3,18,67
3,19,52
3,20,48
3,21,59
3,22,47
3,23,41
4,0,20
4,1,31
4,2,25
4,3,13
4,4,21
4,5,30
4,6,36
4,7,20
4,8,31
4,9,56
4,10,72
4,11,66
4,12,80
4,13,80
4,14,71
4,15,60
4,16,73
4,17,93
4,18,65
4,19,66
4,20,65
4,21,61
4,22,44
4,23,45
5,0,37
5,1,35
5,2,42
5,3,28
5,4,19
5,5,29
5,6,31
5,7,40
5,8,47
5,9,48
5,10,73
5,11,84
5,12,60
5,13,71
5,14,70
5,15,65
5,16,69
5,17,61
5,18,60
5,19,71
5,20,41
5,21,39
5,22,49
5,23,28
6,0,25
6,1,30
6,2,16
6,3,13
6,4,17
6,5,34
6,6,26
6,7,44
6,8,48
6,9,64
6,10,61
6,11,68
6,12,97
6,13,88
6,14,88
6,15,98
6,16,96
6,17,74
6,18,59
6,19,60
6,20,60
6,21,53
6,22,52
6,23,36
7,0,28
7,1,26
7,2,18
7,3,21
7,4,20
7,5,28
7,6,36
7,7,35
7,8,43
7,9,60
7,10,81
7,11,73
7,12,63
7,13,42
7,14,38
7,15,60
7,16,52
7,17,50
7,18,46
7,19,45
7,20,37
7,21,32
7,22,33
7,23,31
8,0,21
8,1,20
8,2,19
8,3,16
8,4,12
8,5,22
8,6,22
8,7,38
8,8,39
8,9,70
8,10,59
8,11,74
8,12,56
8,13,66
8,14,65
8,15,69
8,16,57
8,17,70
8,18,81
8,19,70
8,20,66
8,21,75
8,22,50
8,23,32
9,0,22
9,1,38
9,2,17
9,3,16
9,4,23
9,5,36
9,6,37
9,7,29
9,8,41
9,9,65
9,10,77
9,11,77
9,12,71
9,13,71
9,14,65
9,15,72
9,16,88
9,17,64
9,18,60
9,19,78
9,20,56
9,21,30
9,22,42
9,23,32
10,0,26
10,1,25
10,2,22
10,3,24
10,4,26
10,5,27
10,6,39
10,7,45
10,8,32
10,9,78
10,10,75
10,11,82
10,12,77
10,13,79
10,14,62
10,15,76
10,16,60
10,17,80
10,18,70
10,19,74
10,20,61
10,21,70
10,22,43
10,23,47
11,0,48
11,1,32
11,2,34
11,3,27
11,4,35
11,5,13
11,6,44
11,7,30
11,8,40
11,9,83
11,10,74
11,11,74
11,12,102
11,13,77
11,14,91
11,15,70
11,16,90
11,17,80
11,18,87
11,19,63
11,20,53
11,21,72
11,22,64
11,23,49
12,0,40
12,1,49
12,2,37
12,3,28
12,4,42
12,5,23
12,6,31
