,truck_no,load_date,end_point
52,鲁LE7632,2021-11-01 01:52:00,P000051729
54,鲁L17303,2021-11-01 01:54:20,P000051729
60,鲁L61106,2021-11-01 02:00:54,P000051729
108,苏GM2079,2021-11-01 04:18:00,P000018362
111,鲁L79123,2021-11-01 04:27:12,P000051729
117,鲁L58318,2021-11-01 04:42:20,P000051729
119,鲁L67506,2021-11-01 04:49:32,P000055787
123,鲁L68651,2021-11-01 04:57:02,P000055551
128,苏GM7230,2021-11-01 04:58:05,P000019549
132,鲁L67952,2021-11-01 05:05:02,P000055551
134,鲁L68273,2021-11-01 05:08:32,P000055787
151,鲁L68710,2021-11-01 05:41:02,P000055787
156,苏GU9223,2021-11-01 06:01:24,P000019549
159,鲁L88817,2021-11-01 06:04:32,P000055551
170,鲁L16333,2021-11-01 06:24:00,P000051729
175,鲁L85812,2021-11-01 06:44:15,P000051729
186,鲁L79106,2021-11-01 07:07:19,P000051729
188,鲁L85797,2021-11-01 07:10:30,P000051729
190,鲁Q890ER,2021-11-01 07:17:28,P000018362
193,鲁Q122EG,2021-11-01 07:21:41,P000018362
197,鲁L85333,2021-11-01 07:27:05,P000051729
198,鲁L15520,2021-11-01 07:30:00,P000051729
199,鲁L90800,2021-11-01 07:30:58,P000051729
201,鲁Q879GG,2021-11-01 07:36:22,P000019549
202,鲁Q925GU,2021-11-01 07:36:38,P000018362
206,鲁Q905FT,2021-11-01 07:44:47,P000018362
211,鲁L89917,2021-11-01 08:06:02,P000055551
212,鲁Q965ET,2021-11-01 08:07:13,P000018362
214,鲁Q722EZ,2021-11-01 08:12:31,P000018362
219,鲁Q837GK,2021-11-01 08:22:00,P000018362
220,鲁Q027GH,2021-11-01 08:22:07,P000051729
222,鲁Q375KU,2021-11-01 08:28:00,P000018362
223,鲁Q068ED,2021-11-01 08:30:00,P000018362
227,鲁Q377HB,2021-11-01 08:34:23,P000018362
228,鲁L83129,2021-11-01 08:43:00,P000051729
231,鲁L79093,2021-11-01 08:47:31,P000015400
232,鲁L85088,2021-11-01 08:49:32,P000015622
234,鲁L15310,2021-11-01 08:59:01,P000015622
235,鲁L72908,2021-11-01 08:59:35,P000047193
238,鲁Q220EX,2021-11-01 09:04:28,P000018362
239,鲁Q713EE,2021-11-01 09:06:00,P000018362
241,鲁L88391,2021-11-01 09:11:36,P000015622
242,鲁L72700,2021-11-01 09:11:58,P000051729
244,鲁Q207EX,2021-11-01 09:12:56,P000051729
246,鲁L76110,2021-11-01 09:16:35,P000015400
248,鲁L91668,2021-11-01 09:27:32,P000015622
249,鲁Q121GX,2021-11-01 09:28:00,P000051729
251,鲁L76866,2021-11-01 09:33:08,P000051729
253,鲁LD1025,2021-11-01 09:35:02,P000015400
259,鲁L58951,2021-11-01 09:40:26,P000021313
260,鲁L57720,2021-11-01 09:40:37,P000042580
261,鲁L76170,2021-11-01 09:41:32,P000042580
263,鲁L67103,2021-11-01 09:44:32,P000015622
266,鲁L76993,2021-11-01 09:46:32,P000015400
271,鲁L72192,2021-11-01 09:53:31,P000021313
272,鲁L98321,2021-11-01 09:53:42,P000015400
278,鲁L99559,2021-11-01 09:59:09,P000015400
279,鲁L83678,2021-11-01 10:00:02,P000042580
282,鲁L75822,2021-11-01 10:04:11,P000051729
284,鲁L73035,2021-11-01 10:05:16,P000055787
293,鲁UP8992,2021-11-01 10:12:00,P000051729
296,鲁Q307EU,2021-11-01 10:12:27,P000018362
297,鲁L85550,2021-11-01 10:13:01,P000055551
319,鲁L98281,2021-11-01 10:44:32,P000015400
337,鲁L86597,2021-11-01 10:56:08,P000015400
338,鲁L13938,2021-11-01 10:57:22,P000051729
342,鲁L79113,2021-11-01 11:02:32,P000015400
343,鲁L77953,2021-11-01 11:03:31,P000015400
346,鲁L75090,2021-11-01 11:04:31,P000015400
347,鲁L90656,2021-11-01 11:05:02,P000015400
353,鲁L68023,2021-11-01 11:16:32,P000017812
359,鲁L69651,2021-11-01 11:24:31,P000017812
360,鲁L69632,2021-11-01 11:25:32,P000017812
367,鲁L69917,2021-11-01 11:28:48,P000015400
372,鲁L67653,2021-11-01 11:31:31,P000017812
375,鲁L69300,2021-11-01 11:33:02,P000043918
387,鲁L68072,2021-11-01 11:42:32,P000043918
389,鲁L67973,2021-11-01 11:45:31,P000017812
393,鲁L71706,2021-11-01 11:48:00,P000051729
399,鲁L68703,2021-11-01 11:56:32,P000017812
402,鲁L85902,2021-11-01 12:00:03,P000015622
403,鲁L69653,2021-11-01 12:02:02,P000017812
428,鲁L67183,2021-11-01 12:21:02,P000017812
439,鲁L77690,2021-11-01 12:28:02,P000017812
448,鲁L71972,2021-11-01 12:42:31,P000015400
461,鲁L92226,2021-11-01 12:49:01,P000017812
465,鲁L93323,2021-11-01 12:54:02,P000015622
470,鲁L71556,2021-11-01 12:57:43,P000000644
471,鲁L71556,2021-11-01 12:57:43,P000046805
488,琼E14289,2021-11-01 13:12:00,P000015068
501,琼E18577,2021-11-01 13:20:00,P000015068
516,鲁L69756,2021-11-01 13:39:02,P000043918
518,琼E15306,2021-11-01 13:40:00,P000015068
519,琼E15306,2021-11-01 13:40:00,P000054161
538,鲁Q305KX,2021-11-01 14:06:08,P000018204
547,鲁L68767,2021-11-01 14:12:02,P000042963
548,鲁L79950,2021-11-01 14:12:18,P000042963
562,鲁L79366,2021-11-01 14:24:02,P000043918
563,鲁L68759,2021-11-01 14:26:05,P000043918
570,鲁L13595,2021-11-01 14:31:02,P000042963
573,鲁L79550,2021-11-01 14:34:02,P000042963
578,鲁L78757,2021-11-01 14:45:02,P000043918
607,鲁L72516,2021-11-01 15:31:56,P000017982
616,鲁L73121,2021-11-01 15:40:06,P000046805
617,鲁L73121,2021-11-01 15:40:06,P000001121
656,鲁L67803,2021-11-01 16:20:00,P000018204
663,鲁L68132,2021-11-01 16:24:08,P000018204
664,鲁L58163,2021-11-01 16:24:24,P000017982
684,鲁L63231,2021-11-01 16:49:47,P000018204
685,鲁L63231,2021-11-01 16:49:47,P000017982
688,鲁L65072,2021-11-01 16:54:00,P000018204
689,苏GR0612,2021-11-01 16:54:08,P000019549
692,鲁Q678QX,2021-11-01 17:16:21,P000022755
693,鲁L67765,2021-11-01 17:20:00,P000061093
694,鲁L67765,2021-11-01 17:20:00,P000061093
707,鲁Q662GN,2021-11-01 17:47:07,P000018362
708,鲁Q662GN,2021-11-01 17:47:07,P000018362
738,鲁L13878,2021-11-01 18:07:40,P000021313
745,鲁L79093,2021-11-01 18:11:32,P000015400
755,鲁L68980,2021-11-01 18:20:02,P000021313
756,鲁L89917,2021-11-01 18:20:31,P000055787
757,苏H0533V,2021-11-01 18:22:22,P000020219
759,苏H0757C,2021-11-01 18:24:49,P000006176
766,鲁L83678,2021-11-01 18:33:02,P000017760
771,苏H7912M,2021-11-01 18:37:14,P000020219
772,苏H7912M,2021-11-01 18:37:14,P000015068
798,苏H1608Z,2021-11-01 19:02:14,P000018204
804,苏H1937Y,2021-11-01 19:08:00,P000001121
805,苏H1937Y,2021-11-01 19:08:00,P000006176
812,鲁L68651,2021-11-01 19:13:01,P000017760
835,鲁Q261GD,2021-11-01 19:30:00,P000019549
841,苏GP9065,2021-11-01 19:34:04,P000001388
847,鲁L57353,2021-11-01 19:42:02,P000015400
850,琼E27259,2021-11-01 19:44:36,P000018204
852,鲁L69192,2021-11-01 19:46:00,P000018204
853,苏H2756A,2021-11-01 19:46:49,P000000998
860,鲁LE6895,2021-11-01 19:54:02,P000036289
864,鲁L68826,2021-11-01 19:55:22,P000018204
867,苏GM7230,2021-11-01 20:02:00,P000019549
869,苏H0619H,2021-11-01 20:04:17,P000018204
871,苏GN2526,2021-11-01 20:08:00,P000018362
872,苏GN2526,2021-11-01 20:08:00,P000018362
884,苏GX1913,2021-11-01 20:16:00,P000019549
886,鲁L72222,2021-11-01 20:18:52,P000018362
895,鲁Q651KG,2021-11-01 20:31:10,P000018362
902,琼E21265,2021-11-01 20:39:58,P000018204
914,鲁L79366,2021-11-01 20:54:02,P000043918
922,鲁VL5130,2021-11-01 21:04:58,P000018362
928,鲁L78757,2021-11-01 21:10:32,P000043918
930,鲁L67903,2021-11-01 21:12:32,P000017662
940,琼E22949,2021-11-01 21:34:00,P000018204
941,鲁Q161KC,2021-11-01 21:34:59,P000051729
954,鲁L67500,2021-11-01 22:03:44,P000043918
984,鲁L71267,2021-11-01 22:46:32,P000043918
1053,鲁L85550,2021-11-02 00:50:02,P000021313
1057,鲁UP8116,2021-11-02 00:57:32,P000043918
1084,鲁L68631,2021-11-02 02:15:03,P000016685
1085,鲁UH5037,2021-11-02 02:15:59,P000055787
1090,鲁L75822,2021-11-02 02:36:00,P000026428
1110,鲁L68188,2021-11-02 03:39:31,P000043918
1116,鲁UW7761,2021-11-02 03:58:01,P000043918
1119,鲁UG6805,2021-11-02 04:11:02,P000043918
1121,鲁UT7207,2021-11-02 04:13:01,P000043918
1133,鲁L67585,2021-11-02 04:49:38,P000017812
1143,鲁L67952,2021-11-02 05:08:31,P000016685
1167,鲁L70357,2021-11-02 06:14:05,P000047193
1170,鲁L68757,2021-11-02 06:17:31,P000043918
1174,鲁L79106,2021-11-02 06:26:00,P000018362
1175,苏GL3067,2021-11-02 06:30:00,P000061093
1188,苏GX0167,2021-11-02 06:46:41,P000018362
1190,鲁L99737,2021-11-02 06:53:01,P000055787
1199,苏GL3067,2021-11-02 07:08:00,P000061093
1203,鲁L88817,2021-11-02 07:12:29,P000043918
1225,鲁L58951,2021-11-02 07:53:31,P000021313
1236,鲁L69832,2021-11-02 08:29:01,P000043918
1243,鲁L15310,2021-11-02 08:45:02,P000015622
1245,鲁L85088,2021-11-02 08:51:02,P000015622
1251,鲁L76170,2021-11-02 09:01:02,P000015622
1253,鲁L76993,2021-11-02 09:02:01,P000015622
1255,鲁L67103,2021-11-02 09:02:31,P000015622
1256,鲁L77690,2021-11-02 09:04:02,P000015622
1262,鲁L17303,2021-11-02 09:10:37,P000018362
1264,鲁L16333,2021-11-02 09:12:00,P000001388
1265,鲁L16333,2021-11-02 09:12:00,P000001388
1270,鲁L76110,2021-11-02 09:16:02,P000015400
1274,鲁L13595,2021-11-02 09:20:32,P000015622
1276,鲁L85233,2021-11-02 09:23:32,P000015400
1277,鲁L75560,2021-11-02 09:24:31,P000015622
1279,鲁L83973,2021-11-02 09:31:02,P000015400
1287,鲁L19008,2021-11-02 09:41:31,P000015400
1288,鲁L90800,2021-11-02 09:42:00,P000018362
1289,鲁L98321,2021-11-02 09:42:32,P000015400
1292,鲁L71972,2021-11-02 09:48:32,P000017662
1296,鲁L86710,2021-11-02 09:50:07,P000015400
1298,鲁L69917,2021-11-02 09:51:31,P000021313
1299,鲁L91380,2021-11-02 09:52:00,P000019549
1307,鲁L86785,2021-11-02 09:57:31,P000015400
1310,鲁L75090,2021-11-02 09:59:32,P000015400
1311,鲁L68980,2021-11-02 09:59:37,P000055787
1312,鲁Q879GG,2021-11-02 10:00:00,P000018362
1313,鲁L68710,2021-11-02 10:00:32,P000055551
1317,鲁LE7632,2021-11-02 10:03:01,P000018362
1318,鲁LE7632,2021-11-02 10:03:01,P000018362
1322,鲁L68703,2021-11-02 10:07:07,P000017662
1325,鲁L85333,2021-11-02 10:10:00,P000018362
1326,鲁L85333,2021-11-02 10:10:00,P000018362
1328,鲁L15520,2021-11-02 10:11:15,P000018362
1331,鲁L85797,2021-11-02 10:14:00,P000051729
1334,鲁UF5987,2021-11-02 10:17:31,P000055551
1338,鲁UF5302,2021-11-02 10:20:02,P000043918
1339,苏H1587V,2021-11-02 10:21:32,P000042580
1342,鲁L68288,2021-11-02 10:22:40,P000047193
1346,鲁L85902,2021-11-02 10:26:32,P000015622
1366,鲁L72163,2021-11-02 10:38:00,P000051729
1372,鲁L97859,2021-11-02 10:43:01,P000015400
1373,鲁L79123,2021-11-02 10:43:05,P000051729
1375,鲁L69653,2021-11-02 10:45:31,P000042580
1383,鲁Q905CF,2021-11-02 10:50:00,P000051729
1386,琼E16771,2021-11-02 10:50:35,P000051729
1390,鲁Q577LF,2021-11-02 10:53:41,P000051729
1391,鲁L58361,2021-11-02 10:54:00,P000018362
1392,鲁L96135,2021-11-02 10:54:51,P000051729
1393,鲁L92226,2021-11-02 10:55:02,P000015622
1394,鲁L72750,2021-11-02 10:56:34,P000051729
1402,鲁L89917,2021-11-02 11:03:31,P000043918
1405,鲁L72700,2021-11-02 11:06:15,P000051729
1410,鲁L19787,2021-11-02 11:09:23,P000051729
1412,鲁L79093,2021-11-02 11:11:31,P000015400
1415,鲁Q377HB,2021-11-02 11:14:20,P000018362
1419,鲁L87060,2021-11-02 11:17:02,P000015400
1420,鲁Q905FT,2021-11-02 11:18:00,P000051729
1438,鲁H62D99,2021-11-02 11:32:00,P000018362
1440,鲁L67500,2021-11-02 11:34:02,P000043918
1446,鲁L67653,2021-11-02 11:38:01,P000055787
1447,鲁Q975EU,2021-11-02 11:38:27,P000051729
1448,鲁H95W02,2021-11-02 11:40:00,P000018362
1454,鲁L79089,2021-11-02 11:44:37,P000015400
1457,鲁Q121GX,2021-11-02 11:46:56,P000051729
1458,鲁Q375KU,2021-11-02 11:49:30,P000018204
1461,鲁L76866,2021-11-02 11:50:38,P000051729
1465,鲁Q905CF,2021-11-02 11:55:34,P000051729
1475,鲁Q958JE,2021-11-02 12:06:00,P000018362
1482,鲁Q837GK,2021-11-02 12:10:00,P000018362
1484,鲁Q207EX,2021-11-02 12:16:00,P000051729
1490,苏GQ5895,2021-11-02 12:18:32,P000018362
1492,鲁Q027GH,2021-11-02 12:19:45,P000051729
1505,鲁L68188,2021-11-02 12:33:02,P000021313
1507,鲁Q975EU,2021-11-02 12:34:00,P000051729
1508,鲁L70603,2021-11-02 12:34:33,P000051729
1509,鲁L68273,2021-11-02 12:35:02,P000043918
1519,鲁L58703,2021-11-02 12:46:00,P000019549
1525,鲁L58318,2021-11-02 12:50:15,P000051729
1526,鲁L71267,2021-11-02 12:51:31,P000043918
1530,鲁UP8116,2021-11-02 12:55:02,P000043918
1532,鲁UF7053,2021-11-02 12:56:32,P000043918
1546,鲁UR3905,2021-11-02 13:11:31,P000043918
1555,鲁L79950,2021-11-02 13:22:10,P000042963
1556,鲁L85550,2021-11-02 13:24:31,P000042963
1562,鲁L72192,2021-11-02 13:32:02,P000042963
1595,苏H2756A,2021-11-02 14:11:32,P000047080
1609,鲁UH5037,2021-11-02 14:27:02,P000043918
1618,鲁Q307EU,2021-11-02 14:44:00,P000018362
1619,鲁Q307EU,2021-11-02 14:44:00,P000018362
1622,鲁L79366,2021-11-02 14:46:01,P000042963
1642,鲁L86261,2021-11-02 15:02:00,P000046805
1649,鲁L67183,2021-11-02 15:07:07,P000043918
1666,鲁L70702,2021-11-02 15:24:40,P000018204
1669,苏H0533V,2021-11-02 15:26:38,P000015532
1670,鲁L71770,2021-11-02 15:27:34,P000018204
