,time,pre_total_sheet
0,2020/10/1-2,1
1,2020/10/1-4,2
2,2020/10/1-7,5
3,2020/10/1-9,1
4,2020/10/1-10,2
5,2020/10/1-11,4
6,2020/10/1-14,12
7,2020/10/1-15,2
8,2020/10/1-16,1
9,2020/10/1-17,3
10,2020/10/1-18,1
11,2020/10/1-19,6
12,2020/10/10-0,1
13,2020/10/10-1,3
14,2020/10/10-2,4
15,2020/10/10-3,5
16,2020/10/10-4,4
17,2020/10/10-5,2
18,2020/10/10-6,2
19,2020/10/10-7,5
20,2020/10/10-8,6
21,2020/10/10-9,6
22,2020/10/10-10,40
23,2020/10/10-11,5
24,2020/10/10-12,22
25,2020/10/10-13,68
26,2020/10/10-14,11
27,2020/10/10-15,23
28,2020/10/10-16,8
29,2020/10/10-17,6
30,2020/10/10-18,7
31,2020/10/10-19,8
32,2020/10/10-20,11
33,2020/10/10-21,12
34,2020/10/10-22,8
35,2020/10/10-23,5
36,2020/10/11-0,19
37,2020/10/11-1,2
38,2020/10/11-2,3
39,2020/10/11-3,1
40,2020/10/11-4,2
41,2020/10/11-5,4
42,2020/10/11-6,5
43,2020/10/11-7,3
44,2020/10/11-9,2
45,2020/10/11-10,16
46,2020/10/11-11,13
47,2020/10/11-12,28
48,2020/10/11-13,5
49,2020/10/11-14,18
50,2020/10/11-15,11
51,2020/10/11-16,5
52,2020/10/11-17,3
53,2020/10/11-18,14
54,2020/10/11-19,11
55,2020/10/11-20,5
56,2020/10/11-21,23
57,2020/10/11-22,17
58,2020/10/11-23,5
59,2020/10/12-0,1
60,2020/10/12-1,10
61,2020/10/12-2,15
62,2020/10/12-3,1
63,2020/10/12-5,1
64,2020/10/12-6,2
65,2020/10/12-7,1
66,2020/10/12-8,6
67,2020/10/12-9,28
68,2020/10/12-10,8
69,2020/10/12-11,35
70,2020/10/12-12,15
71,2020/10/12-13,7
72,2020/10/12-14,13
73,2020/10/12-15,15
74,2020/10/12-16,12
75,2020/10/12-17,30
76,2020/10/12-18,14
77,2020/10/12-19,16
78,2020/10/12-20,24
79,2020/10/12-21,48
80,2020/10/12-22,14
81,2020/10/12-23,1
82,2020/10/13-0,3
83,2020/10/13-1,1
84,2020/10/13-4,2
85,2020/10/13-5,5
86,2020/10/13-6,3
87,2020/10/13-7,4
88,2020/10/13-9,6
89,2020/10/13-11,15
90,2020/10/13-12,12
91,2020/10/13-13,19
92,2020/10/13-14,6
93,2020/10/13-15,11
94,2020/10/13-16,17
95,2020/10/13-17,12
96,2020/10/13-18,13
97,2020/10/13-19,24
98,2020/10/13-20,14
99,2020/10/13-21,3
100,2020/10/13-22,68
101,2020/10/13-23,4
102,2020/10/14-0,69
103,2020/10/14-1,73
104,2020/10/14-2,10
105,2020/10/14-3,2
106,2020/10/14-4,1
107,2020/10/14-5,5
108,2020/10/14-6,1
109,2020/10/14-8,3
110,2020/10/14-9,11
111,2020/10/14-10,36
112,2020/10/14-11,10
113,2020/10/14-12,16
114,2020/10/14-13,24
115,2020/10/14-14,27
116,2020/10/14-15,2
117,2020/10/14-16,4
118,2020/10/14-17,31
119,2020/10/14-18,6
120,2020/10/14-19,22
121,2020/10/14-20,31
122,2020/10/14-21,18
123,2020/10/14-22,1
124,2020/10/14-23,2
125,2020/10/15-2,10
126,2020/10/15-3,2
127,2020/10/15-4,3
128,2020/10/15-6,14
129,2020/10/15-7,3
130,2020/10/15-8,20
131,2020/10/15-9,2
132,2020/10/15-10,21
133,2020/10/15-11,12
134,2020/10/15-12,9
135,2020/10/15-13,6
136,2020/10/15-14,12
137,2020/10/15-15,4
138,2020/10/15-16,1
139,2020/10/15-17,14
140,2020/10/15-18,40
141,2020/10/15-19,4
142,2020/10/15-20,23
143,2020/10/15-21,10
144,2020/10/15-22,2
145,2020/10/15-23,18
146,2020/10/16-1,3
147,2020/10/16-2,20
148,2020/10/16-3,1
149,2020/10/16-4,2
150,2020/10/16-6,3
151,2020/10/16-7,2
152,2020/10/16-8,4
153,2020/10/16-9,8
154,2020/10/16-10,7
155,2020/10/16-11,18
156,2020/10/16-12,12
157,2020/10/16-13,9
158,2020/10/16-14,15
159,2020/10/16-15,8
160,2020/10/16-16,8
161,2020/10/16-17,35
162,2020/10/16-18,17
163,2020/10/16-19,13
164,2020/10/16-20,15
165,2020/10/16-21,5
166,2020/10/16-22,34
167,2020/10/17-0,1
168,2020/10/17-1,21
169,2020/10/17-2,28
170,2020/10/17-3,1
171,2020/10/17-9,14
172,2020/10/17-10,13
173,2020/10/17-11,23
174,2020/10/17-12,5
175,2020/10/17-13,16
176,2020/10/17-14,10
177,2020/10/17-15,7
178,2020/10/17-16,30
179,2020/10/17-17,15
180,2020/10/17-18,3
181,2020/10/17-19,7
182,2020/10/17-20,21
183,2020/10/17-21,15
184,2020/10/17-22,2
185,2020/10/17-23,5
186,2020/10/18-0,2
187,2020/10/18-1,2
188,2020/10/18-2,5
189,2020/10/18-4,2
190,2020/10/18-5,1
191,2020/10/18-7,1
192,2020/10/18-8,1
193,2020/10/18-9,7
194,2020/10/18-10,11
195,2020/10/18-11,10
196,2020/10/18-13,5
197,2020/10/18-14,8
198,2020/10/18-15,14
199,2020/10/18-16,8
200,2020/10/18-17,18
201,2020/10/18-18,13
202,2020/10/18-19,15
203,2020/10/18-20,5
204,2020/10/18-21,37
205,2020/10/18-22,21
206,2020/10/18-23,1
207,2020/10/19-0,1
208,2020/10/19-1,3
209,2020/10/19-2,17
210,2020/10/19-4,2
211,2020/10/19-5,33
212,2020/10/19-7,1
213,2020/10/19-8,2
214,2020/10/19-9,9
215,2020/10/19-10,44
216,2020/10/19-11,10
217,2020/10/19-12,68
218,2020/10/19-13,60
219,2020/10/19-14,9
220,2020/10/19-15,13
221,2020/10/19-16,18
222,2020/10/19-17,27
223,2020/10/19-18,21
224,2020/10/19-19,12
225,2020/10/19-20,14
226,2020/10/19-21,8
227,2020/10/19-22,4
228,2020/10/19-23,3
229,2020/10/2-2,1
230,2020/10/2-6,7
231,2020/10/2-7,10
232,2020/10/2-9,2
233,2020/10/2-10,8
234,2020/10/2-11,9
235,2020/10/2-12,11
236,2020/10/2-13,8
237,2020/10/2-14,3
238,2020/10/2-15,8
239,2020/10/2-16,18
240,2020/10/2-17,11
241,2020/10/2-18,13
242,2020/10/2-19,23
243,2020/10/2-20,10
244,2020/10/2-21,16
245,2020/10/2-23,3
246,2020/10/20-0,32
247,2020/10/20-1,7
248,2020/10/20-2,2
249,2020/10/20-3,18
250,2020/10/20-4,5
251,2020/10/20-5,17
252,2020/10/20-6,9
253,2020/10/20-7,2
254,2020/10/20-8,14
255,2020/10/20-9,12
256,2020/10/20-10,6
257,2020/10/20-11,19
258,2020/10/20-12,32
259,2020/10/20-13,15
260,2020/10/20-14,29
261,2020/10/20-15,5
262,2020/10/20-16,34
263,2020/10/20-17,8
264,2020/10/20-18,44
265,2020/10/20-19,44
266,2020/10/20-20,23
267,2020/10/20-21,9
268,2020/10/20-22,8
269,2020/10/20-23,4
270,2020/10/21-0,5
271,2020/10/21-1,1
272,2020/10/21-2,7
273,2020/10/21-3,3
274,2020/10/21-4,2
275,2020/10/21-5,6
276,2020/10/21-6,14
277,2020/10/21-7,1
278,2020/10/21-8,3
279,2020/10/21-9,4
280,2020/10/21-10,8
281,2020/10/21-11,21
282,2020/10/21-12,21
283,2020/10/21-13,47
284,2020/10/21-14,14
285,2020/10/21-15,4
286,2020/10/21-16,22
287,2020/10/21-17,4
288,2020/10/21-18,26
289,2020/10/21-19,28
290,2020/10/21-20,41
291,2020/10/21-21,6
292,2020/10/21-22,13
293,2020/10/21-23,2
294,2020/10/22-0,6
295,2020/10/22-1,3
296,2020/10/22-2,7
297,2020/10/22-3,16
298,2020/10/22-4,5
299,2020/10/22-5,1
300,2020/10/22-6,1
301,2020/10/22-7,4
302,2020/10/22-9,12
303,2020/10/22-10,25
304,2020/10/22-11,11
305,2020/10/22-12,21
306,2020/10/22-13,25
307,2020/10/22-14,5
308,2020/10/22-15,14
309,2020/10/22-16,17
310,2020/10/22-17,17
311,2020/10/22-18,63
312,2020/10/22-19,80
313,2020/10/22-20,4
314,2020/10/22-21,17
315,2020/10/22-22,4
316,2020/10/22-23,4
317,2020/10/23-0,10
318,2020/10/23-1,19
319,2020/10/23-2,2
320,2020/10/23-3,1
321,2020/10/23-4,1
322,2020/10/23-7,3
323,2020/10/23-8,3
324,2020/10/23-9,9
325,2020/10/23-10,3
326,2020/10/23-11,17
327,2020/10/23-12,17
328,2020/10/23-13,24
329,2020/10/23-14,11
330,2020/10/23-15,19
331,2020/10/23-16,21
332,2020/10/23-17,31
333,2020/10/23-18,14
334,2020/10/23-19,9
335,2020/10/23-20,5
336,2020/10/23-21,7
337,2020/10/23-22,3
338,2020/10/23-23,11
339,2020/10/24-0,5
340,2020/10/24-1,6
341,2020/10/24-3,4
342,2020/10/24-4,4
343,2020/10/24-5,1
344,2020/10/24-6,3
345,2020/10/24-8,13
346,2020/10/24-9,32
347,2020/10/24-10,22
348,2020/10/24-11,10
349,2020/10/24-12,13
350,2020/10/24-13,14
351,2020/10/24-14,10
352,2020/10/24-15,13
353,2020/10/24-16,21
354,2020/10/24-17,13
355,2020/10/24-18,12
356,2020/10/24-19,4
357,2020/10/24-20,8
358,2020/10/24-21,8
359,2020/10/24-22,21
360,2020/10/25-1,7
361,2020/10/25-2,2
362,2020/10/25-3,2
363,2020/10/25-5,1
364,2020/10/25-7,4
365,2020/10/25-8,3
366,2020/10/25-9,11
367,2020/10/25-10,28
368,2020/10/25-11,11
369,2020/10/25-12,18
370,2020/10/25-13,24
371,2020/10/25-14,18
372,2020/10/25-15,12
373,2020/10/25-16,4
374,2020/10/25-17,12
375,2020/10/25-18,21
376,2020/10/25-19,25
377,2020/10/25-20,19
378,2020/10/25-21,10
379,2020/10/25-22,3
380,2020/10/25-23,4
381,2020/10/26-0,1
382,2020/10/26-1,11
383,2020/10/26-4,1
384,2020/10/26-5,1
385,2020/10/26-6,1
386,2020/10/26-7,3
387,2020/10/26-9,7
388,2020/10/26-10,13
389,2020/10/26-11,19
390,2020/10/26-12,3
391,2020/10/26-13,7
392,2020/10/26-14,14
393,2020/10/26-15,18
394,2020/10/26-16,19
395,2020/10/26-17,9
396,2020/10/26-18,44
397,2020/10/26-19,10
398,2020/10/26-20,13
399,2020/10/26-21,9
400,2020/10/26-22,50
401,2020/10/26-23,1
402,2020/10/27-0,7
403,2020/10/27-1,2
404,2020/10/27-2,1
405,2020/10/27-3,3
406,2020/10/27-4,5
407,2020/10/27-5,3
408,2020/10/27-6,8
409,2020/10/27-7,1
410,2020/10/27-8,37
411,2020/10/27-9,4
412,2020/10/27-10,6
413,2020/10/27-11,17
414,2020/10/27-12,12
415,2020/10/27-13,32
416,2020/10/27-14,7
417,2020/10/27-15,71
